file,line,entity,legacy_field,runtime_path,read_type,replacement,status,risk,remove_ready
"src/components/website/team/TeamPlayerCard.js","8","players","players.photo_url","public/team-roster","component_display","players.image_url or DTO imageUrl","READY","LOW","YES"
"src/components/website/player-profile/PlayerProfileImageCard.js","16","players","players.photo_url","public/player-profile","component_display","players.image_url or DTO imageUrl","READY","LOW","YES"
"src/components/admin/players/forms/playerForm.helpers.js","37","players","players.photo_url","admin/player-form","form_init_fallback","players.image_url","FALLBACK_ONLY","LOW","NO"
"src/components/admin/players/services/players.service.js","16","players","players.photo_url","admin/player-image-upload","previous_file_pointer","players.image_url","TEMPORARY","LOW","NO"
"src/components/admin/players/list/playerList.helpers.js","47","players","players.team_id","admin/players-list","helper_filter_options","player DTO primaryAssignment.teamId","ACTIVE","MEDIUM","NO"
"src/components/admin/players/list/playerList.helpers.js","89","players","players.team_id","admin/players-list","helper_filter","player DTO primaryAssignment.teamId","ACTIVE","MEDIUM","NO"
"src/components/admin/persons/playerSeasonalReadModelRepository.js","18","players","players.team_id","admin/shared-player-read-model","repository_fallback_query","player_team_seasons + empty-state handling","BLOCKED","HIGH","NO"
"src/components/admin/persons/seasonalReadModelCore.mjs","158","players","players.team_id","admin/shared-player-read-model","read_model_fallback_flag","player_team_seasons only","BLOCKED","HIGH","NO"
"src/app/admin/players/page.js","37","players","players.team_id","admin/players-list","query_select","player DTO assignment/team view","DUAL_READ","MEDIUM","NO"
"src/app/admin/players/page.js","37","players","players.photo_url","admin/players-list","query_select","players.image_url","DUAL_READ","LOW","NO"
"src/components/admin/players/services/playerWrite.service.js","33","players","players.team_id","admin/player-write-rollback","master_record_load","player_team_seasons + rollback plan without legacy team snapshot","TEMPORARY","HIGH","NO"
"src/components/admin/players/services/playerWrite.service.js","33","players","players.photo_url","admin/player-write-rollback","master_record_load","players.image_url","TEMPORARY","LOW","NO"
"src/components/admin/players/components/PlayerCard.js","34","players","players.photo_url","admin/players-list","generic_image_fallback","players.image_url or DTO imageUrl","READY","LOW","YES"
"src/components/website/coach-profile/CoachProfileImageCard.js","16","coaches","coaches.photo_url","public/coach-profile","component_display","coaches.image_url or DTO imageUrl","READY","LOW","YES"
"src/components/website/team/TeamCoachCard.js","4","coaches","coaches.photo_url","public/team-staff","component_display","coaches.image_url or DTO imageUrl","READY","LOW","YES"
"src/components/website/department/DepartmentPersonCard.js","18","coaches","coaches.photo_url","public/department-card","generic_image_fallback","DTO imageUrl","FALLBACK_ONLY","MEDIUM","NO"
"src/components/website/department/DepartmentPersonCard.js","20","coaches","coaches.role*","public/department-card","generic_role_fallback","coach_team_seasons role labels or coach_staff_roles","BLOCKED","HIGH","NO"
"src/components/website/coach/coachPublic.repository.js","13","coaches","coaches.role*","public/coach-repository","query_select","coach_team_seasons role labels plus coach_staff_roles","DUAL_READ","HIGH","NO"
"src/components/website/coach/coachPublic.repository.js","13","coaches","coaches.photo_url","public/coach-repository","query_select","coaches.image_url","DUAL_READ","MEDIUM","NO"
"src/app/admin/coaches/page.js","37","coaches","coaches.role*","admin/coaches-list","query_select","coach DTO roleLabels from assignments plus staff roles","DUAL_READ","MEDIUM","NO"
"src/app/admin/coaches/page.js","37","coaches","coaches.photo_url","admin/coaches-list","query_select","coaches.image_url","DUAL_READ","LOW","NO"
"src/app/admin/settings/page.js","53","coaches","coaches.role*","admin/settings-forwarding","query_select","coach DTO roleLabels from assignments plus staff roles","DUAL_READ","MEDIUM","NO"
